"","HHID","Year","Householdsize","FCS","Numberofdiffererentcropsproducedbythehousehold","Sexofhouseholdhead","Ageofthehouseholdhead","Educationlevelofthehouseholdhead","Totalcroppedarea","DDS","Numberofhouseholdproductionbynutritionalgroup","Foodexpenditure","Nonfoodexpenditure","Incomes","Region","Numberofdifferentnonagriculturalincomesources","Proportionoffoodconsumedinpreviousoneweekfromhouseholdsownproduction","Simpsonsindex","CaloriesbyHH","HeadAgricultureDecision","Agriculturalincomes","NonAgriculturalincomes","Propertyincomes","Investments","Transfers"
"4","1021001109","2009",12,77,6,"Female",40,NA,4.5,9,3,928.8,8089.7,15720,"Central",1,0.1875,0.794921875,90563.72,"1",1011.01245314589,0,0,9402.41581425679,2830.8348688085
"5","1021001109","2010",12,67,6,"Female",40,13,8,9,4,1353.05060370081,539.796398942144,13989.8848204063,"Central",0,0,0.8125,53787.5,"1",4890.77274209325,0,0,8088.09962516713,1011.01245314589
"6","1021001109","2012",12,84,5,"Female",40,13,0,9,2,1854.14803922293,707.756652306601,4341.27201117277,"Central",0,0.0588235294,NA,52550,"1",55.4204937596524,0,0,0,4285.85151741312
"7","1021002610","2009",9,48,7,"Female",70,15,0.71,9,4,261.8,93.2,2800,"Central",0,0.25,0.71875,58097.18,"1",168.502075524315,0,0,0,2190.5269818161
"8","1021002610","2010",9,67.5,7,"Female",71,16,0.72,9,4,222.422739692096,34.1216702936738,291.508590657065,"Central",0,0.2857142857,0.8,64130,"1",0,0,0,80.8809962516713,210.627594405394
"9","1021002610","2012",9,82,2,"Female",72,16,0.5,9,1,545.189870611621,121.11225236276,1670.00421195753,"Central",0,0.1428571429,0,125605,"1",0,0,0,1152.74627020077,517.257941756756
"10","1021002611","2009",6,67,4,"Male",71,41,0.67,8,3,471,279.9,720,"Central",0,0,0.72,37048.02,"1",0,0,0,606.607471887535,0
"11","1021002611","2010",6,58.5,3,"Male",67,41,1,7,2,222.422739692096,219.221200257134,893.061000278871,"Central",1,0.0833333333,0.5,49545,"1",0,0,0,303.303735943767,589.757264335103
"12","1021002611","2012",7,94.5,3,"Male",67,16,0.7900000215,10,3,1498.05289331924,264.097126262664,443.363950077219,"Central",2,0.2,0.6666666667,37010,"1",0,0,0,0,443.363950077219
"13","1021002810","2009",10,57.5,4,"Female",37,17,6.5,9,3,703.45,196.5,90,"Central",0,0.45,0.6666666667,61024.08,"1",8.42510377621577,0,67.4008302097261,0,0
"14","1021002810","2010",12,65.5,4,"Female",38,17,0.5,11,3,973.604992379494,126.797811832047,973.099486152921,"Central",1,0.2608695652,0.72,46053.5,"1",84.2510377621576,0,888.848448390763,0,0
"15","1021002810","2012",14,43,3,"Female",40,15,3,7,3,904.868875111765,206.090342794227,6037.13912021813,"Central",0,0.0555555556,0.64,180602.5,"1",332.522962557914,0,0,4965.67624086486,738.939916795365
"16","1033000301","2009",10,20.5,2,"Male",30,NA,3,6,2,41.4,14.55,320,"Central",0,0.3333333333,0.5,19956.0200356436,"1",269.603320838904,0,0,0,0
"17","1033000301","2010",12,49,6,"Male",31,NA,3,9,4,248.877565549414,155.358913633419,421.255188810788,"Central",0,0.3333333333,0.6666666667,35267.5,"1",252.753113286473,0,0,0,168.502075524315
"18","1033000301","2012",13,40.5,8,"Male",32,NA,2,8,4,38.2770876899999,31.4788404554826,795.099350471813,"Central",0,0.5714285714,0.625,60064,"1",354.691160061775,0,110.840987519305,0,329.567202890733
"19","1033000302","2009",11,43.5,6,"Female",58,15,2.93,7,5,55,54.5,471,"Central",0,0.5,0.5,52802.66,"1",396.822387859762,0,0,0,0
"20","1033000302","2010",14,60.5,5,"Female",59,15,6.05,7,3,328.579047272415,117.782950791496,79.1959754964282,"Central",0,0.25,0.7901234568,93137.5,"1",79.1959754964282,0,0,0,0
"21","1033000302","2012",15,44.5,9,"Female",60,15,6.0499999523,7,4,58.9674053602702,34.1390241559459,945.843093498068,"Central",0,0.5,0.8190937473,123057.5,"1",406.416954237451,0,0,133.009185023166,406.416954237451
"22","1033000303","2009",6,50,5,"Female",48,16,0,7,4,86,709.9,250,"Central",0,0.5,NA,75326,"0",210.627594405394,0,0,0,0
"23","1033000303","2010",6,41,4,"Female",49,16,0.84,6,3,71.9503862488826,126.208054567712,10.1101245314589,"Central",0,0.2857142857,0.7346938776,44137.5,"1",10.1101245314589,0,0,0,0
"24","1033000303","2012",6,39,5,"Female",53,16,2.6400001049,4,4,37.6859357565636,85.7170303482624,125.619785855212,"Central",0,0.3333333333,0.4444444444,66987.5,"1",125.619785855212,0,0,0,0
"25","1033000304","2009",11,85,6,"Female",63,10,4.08,10,4,645.75,133.5,150,"Central",0,0.5,0.625,103772.78,"1",126.376556643236,0,0,0,0
"26","1033000304","2010",10,60.5,5,"Female",64,10,4.89,9,4,445.477362167409,13.4801660419452,362.279462377278,"Central",0,0.2,0.7901234568,99122,"1",0,0,0,0,362.279462377278
"27","1033000304","2012",11,75.5,6,"Female",76,13,1.5599999428,8,4,225.524462605946,14.7787983359073,472.921546749034,"Central",0,0.2307692308,0.625,69450,"1",29.5575966718146,0,0,0,443.363950077219
"31","1033000307","2009",6,63,4,"Male",38,14,4.82,9,4,540.1,204.85,923,"Central",0,0.380952381,0.5091498512,83225.56,"1",465.908238824732,0,0,227.477801957826,84.2510377621576
"32","1033000307","2010",9,40,3,"Male",39,14,25.14,6,3,21.6103911859934,47.6860873733812,71.613382097834,"Central",0,0.3333333333,0.6318601931,45294.5000356436,"1",71.613382097834,0,0,0,0
"33","1033000307","2012",10,45,8,"Male",40,15,4.4699997902,7,4,135.373792756911,75.5196594964863,845.347264813898,"Central",0,0.5625,0.6666666667,37425.4,"1",480.310945916987,0,199.513777534749,165.522541362162,0
"34","1033000308","2009",3,72,4,"Female",44,13,0.18,9,3,267.8,122.8,3840,"Central",0,0.2307692308,0.5,22437.02,"1",876.210792726439,0,2359.02905734041,0,0
"35","1033000308","2010",7,43,5,"Female",44,13,0.05,8,3,277.396541831904,23.3375374601177,219.05269818161,"Central",0,0.2,0.6530612245,49545,"1",210.627594405394,0,0,0,8.42510377621577
"36","1033000308","2012",8,52.5,6,"Female",45,NA,0,8,3,138.329552424092,14.5571163608687,192.124378366795,"Central",0,0.2307692308,NA,44240,"1",192.124378366795,0,0,0,0
"37","1033000310","2009",10,29,3,"Male",46,NA,2.86,4,3,64.2,5.3,NA,"Central",0,0.5,0.625,81493,"1",0,0,0,0,0
"38","1033000310","2010",10,48,2,"Male",47,NA,3.24,9,2,194.872650343871,8.34085273845361,404.404981258357,"Central",0,0.3333333333,0.4444444444,37735,"1",404.404981258357,0,0,0,0
"39","1033000310","2012",11,49,6,"Male",47,NA,1,7,4,142.763191924865,35.4691160061775,147.787983359073,"Central",0,0.4615384615,0.8,41612.5,"1",147.787983359073,0,0,0,0
"40","1033000504","2009",2,48,6,"Male",51,14,0.58,5,4,8.1,8.8,584,"Central",0,0.75,0.7222222222,15174,"1",16.8502075524315,0,475.175852978569,0,0
"41","1033000504","2010",2,53.5,6,"Male",52,15,0.68,7,3,32.3523985006685,9.9416224559346,65.715809454483,"Central",0,0.5,0.8284023669,9804,"1",37.9129669929709,0,27.802842461512,0,0
"42","1033000504","2012",2,35,6,"Male",53,14,1,3,4,0.461837447997103,10.3451588351351,554.204937596524,"Central",0,0.75,0.82,21820,"1",36.9469958397683,0,0,0,517.257941756756
"43","1033000505","2009",6,59,5,"Male",62,41,2.84,8,4,225,77,1190,"Central",2,0.6111111111,0.7755102041,91870.1,"1",261.178217062689,0,606.607471887535,0,134.801660419452
"44","1033000505","2010",6,51.5,7,"Female",50,34,5.5,9,4,309.032806511594,117.277444564923,606.607471887535,"Central",1,0.2142857143,0.7603305785,67875,"1",505.506226572946,0,101.101245314589,0,0
"45","1033000505","2012",6,46,8,"Male",64,16,3,7,4,74.780719579691,93.4020054829342,339.912361725868,"Central",1,0.4545454545,0.7755102041,46695,"1",221.68197503861,0,118.230386687258,0,0
"46","1033000506","2009",7,97.5,7,"Male",75,12,1.4299999475,10,4,198.4,188.2,330,"Central",0,0.5,0.5,52742.21,"1",25.2753113286473,0,252.753113286473,0,0
"47","1033000506","2010",8,80,5,"Male",76,0,12.89,9,4,156.875432313138,55.1001786964511,631.882783216182,"Central",0,0.3846153846,0.5,93297.5,"1",210.627594405394,0,421.255188810788,0,0
"48","1033000506","2012",9,78,8,"Male",77,13,15,10,4,168.95861197526,55.8269107138899,1426.15403941505,"Central",2,0.5625,0.6981818182,66885,"1",761.108114299226,0,413.806353405405,29.5575966718146,221.68197503861
"49","1033000507","2009",10,53,2,"Male",48,12,0,9,2,493.5,29.3,600,"Central",0,0.2857142857,NA,120551.900190735,"0",0,0,505.506226572946,0,0
"50","1033000507","2010",11,72.5,5,"Male",49,13,4.66,9,4,157.717942690759,127.893075322955,175.242158545288,"Central",2,0.5,0.7438016529,111707.5,"1",58.9757264335103,0,116.266432111778,0,0
"51","1033000507","2012",11,61.5,10,"Male",50,13,6,7,5,13.4487064856756,75.3718715131273,2364.60773374517,"Central",1,0.75,0.8393194707,318000,"1",147.787983359073,0,2216.8197503861,0,0
"52","1033000509","2009",4,24.5,1,"Male",50,NA,0,5,1,22.4,96,1140,"Central",0,0.3333333333,NA,25814.02,"1",252.753113286473,0,707.708717202124,0,0
"53","1033000509","2010",4,30.5,6,"Male",53,11,0.24,5,3,19.2092366097719,23.6745416111663,252.753113286473,"Central",0,0.25,0.4444444444,24462.5,"1",252.753113286473,0,0,0,0
"54","1033000509","2012",4,47.5,8,"Male",54,13,2.3199999928,5,4,106.407348018533,23.8677593124903,268.974129713513,"Central",0,0.5555555556,0.8166642473,52880,"1",268.974129713513,0,0,0,0
"55","1033000510","2009",11,40,4,"Male",38,16,2.97,6,4,16,3,220,"Central",0,0.625,0.6446280992,53743.6,"1",101.101245314589,0,84.2510377621576,0,0
"56","1033000510","2010",12,44.5,4,"Female",35,14,0,7,3,113.738900978913,71.107875871261,96.0461830488597,"Central",0,0.4444444444,NA,104552.5,"0",96.0461830488597,0,0,0,0
"57","1033000510","2012",13,70.5,7,"Female",37,13,0.1700000018,6,4,63.1054688943242,7.31550517627412,177.345580030888,"Central",0,0.6666666667,0.375,205965,"0",73.8939916795365,0,0,0,103.451588351351
"58","1033000511","2009",4,78,4,"Male",27,34,0,9,3,630.7,46.2,4176,"Central",0,0.25,NA,46629.84,"1",404.404981258357,0,3113.91835568935,0,0
"59","1033000511","2010",6,72,4,"Male",28,34,0.85,9,3,707.076834418908,86.3573137062116,6697.95750209153,"Central",0,0.2857142857,0.6111111111,33435,"1",631.882783216182,0,6066.07471887535,0,0
"60","1033000511","2012",7,54.5,5,"Male",29,34,0.5,7,3,66.5045925115829,56.4550096431659,369.469958397683,"Central",1,0.4166666667,0,62810,"1",118.230386687258,0,251.239571710424,0,0
"64","1041000207","2009",5,25.5,4,"Female",98,41,0.85,6,3,65,58.45,400,"Central",0,0.3,0.6666666667,22976.04,"0",0,0,0,337.004151048631,0
"65","1041000207","2010",6,87,5,"Female",99,0,0.94,9,3,141.541743440425,29.4878632167552,1811.39731188639,"Central",0,0,0.6666666667,87088,"1",210.627594405394,0,0,421.255188810788,1179.51452867021
"66","1041000207","2012",7,54.5,5,"Female",100,12,0.75,6,3,193.306682233668,67.6130023867759,480.310945916987,"Central",0,0.1666666667,0.64,51445,"0",169.956180862934,0,0,258.628970878378,51.7257941756756
